Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl
2009-10,21,80,77,2896,528,1143,462,166,380,437,362,763,474,535,177,200,885,48,308,356,472,152,19,243,252,1399,1
2010-11,22,74,74,2489,505,1053,480,151,342,442,354,711,498,551,212,227,934,52,234,286,432,109,20,226,233,1373,0
2011-12,23,26,23,732,145,296,490,55,121,455,90,175,514,583,38,47,809,15,73,88,138,39,8,65,62,383,0
2012-13,24,78,78,2983,626,1388,451,272,600,453,354,788,449,549,262,291,900,59,255,314,539,126,12,240,198,1786,0
2013-14,25,78,78,2846,652,1383,471,261,615,424,391,768,509,566,308,348,885,46,288,334,666,128,14,294,194,1873,4
2014-15,26,80,80,2613,653,1341,487,286,646,443,367,695,528,594,308,337,914,56,285,341,619,163,16,249,158,1900,0
2015-16,27,79,79,2700,805,1598,504,402,886,454,403,712,566,630,363,400,908,68,362,430,527,169,15,262,161,2375,2
2016-17,28,79,79,2638,675,1443,468,324,789,411,351,654,537,580,325,362,898,61,292,353,524,142,17,239,183,1999,0
2017-18,29,51,51,1631,428,864,495,212,501,423,216,363,595,618,278,302,921,36,225,261,310,80,8,153,114,1346,0
2018-19,30,69,69,2331,632,1340,472,354,810,437,278,530,525,604,263,287,916,45,324,369,361,92,25,192,166,1881,0
2019-20,31,5,5,139,33,82,402,12,49,245,21,33,636,476,26,26,1.000,4,22,26,33,5,2,16,11,104,0
2020-21,32,63,63,2152,658,1365,482,337,801,421,321,564,569,605,362,395,916,29,316,345,363,77,8,213,119,2015,0
2021-22,33,64,64,2211,535,1224,437,285,750,380,250,474,527,554,275,298,923,34,301,335,404,85,23,206,130,1630,2
2022-23,34,56,56,1941,559,1133,493,273,639,427,286,494,579,614,257,281,915,39,302,341,352,52,20,179,117,1648,1
2023-24,35,74,74,2421,650,1445,450,357,876,408,293,569,515,573,299,324,923,37,293,330,379,54,28,210,117,1956,0
2024-25,36,70,70,2252,564,1258,448,311,784,397,253,474,534,572,279,299,933,40,270,310,421,80,30,200,95,1718,0