Season,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2024-25,Golden State Warriors*,48,34,585,3rd of 5,3.56,,98.7,-0.1,115.0,0.5,111.7,-2.8,,Lost W. Conf. Semis,S. Kerr (48-34),S. Curry (7.9)
2023-24,Golden State Warriors,46,36,561,5th of 5,2.77,,99.2,0.7,117.8,2.5,115.2,-0.1,,,S. Kerr (46-36),S. Curry (7.2)
2022-23,Golden State Warriors*,44,38,537,4th of 5,1.66,,101.6,2.5,116.1,1.3,114.4,-0.4,,Lost W. Conf. Semis,S. Kerr (44-38),K. Looney (8.7)
2021-22,Golden State Warriors*,53,29,646,2nd of 5,5.52,,98.4,0.2,112.5,0.5,106.9,-5.1,,Won Finals,S. Kerr (53-29),S. Curry (8.0)
2020-21,Golden State Warriors,39,33,542,4th of 5,1.10,,102.2,3.0,111.1,-1.2,110.1,-2.2,,,S. Kerr (39-33),S. Curry (9.0)
2019-20,Golden State Warriors,15,50,231,5th of 5,-8.12,,100.3,0.0,105.2,-5.4,113.8,3.2,,,S. Kerr (15-50),M. Chriss (3.4)
2018-19,Golden State Warriors*,57,25,695,1st of 5,6.42,,100.9,0.9,115.9,5.5,109.5,-0.9,,Lost Finals,S. Kerr (57-25),K. Durant (11.5)
2017-18,Golden State Warriors*,58,24,707,1st of 5,5.79,,99.6,2.3,113.6,5.0,107.7,-0.9,,Won Finals,S. Kerr (58-24),K. Durant (10.4)
2016-17,Golden State Warriors*,67,15,817,1st of 5,11.35,,99.8,3.4,115.6,6.8,104.0,-4.8,,Won Finals,S. Kerr (67-15),S. Curry (12.6)
2015-16,Golden State Warriors*,73,9,890,1st of 5,10.38,,99.3,3.5,114.5,8.1,103.8,-2.6,,Lost Finals,S. Kerr (73-9),S. Curry (17.9)
2014-15,Golden State Warriors*,67,15,817,1st of 5,10.01,,98.3,4.4,111.6,6.0,101.4,-4.2,,Won Finals,S. Kerr (67-15),S. Curry (15.7)
2013-14,Golden State Warriors*,51,31,622,2nd of 5,5.15,,96.2,2.3,107.5,0.8,102.6,-4.1,,Lost W. Conf. 1st Rnd.,M. Jackson (51-31),S. Curry (13.4)
2012-13,Golden State Warriors*,47,35,573,2nd of 5,1.32,,94.5,2.5,106.4,0.5,105.5,-0.4,,Lost W. Conf. Semis,M. Jackson (47-35),S. Curry (11.2)
2011-12,Golden State Warriors,23,43,348,4th of 5,-2.79,,92.3,1.0,105.4,0.8,109.1,4.5,,,M. Jackson (23-43),D. Lee (5.0)
2010-11,Golden State Warriors,36,46,439,3rd of 5,-2.00,,94.8,2.7,108.2,0.9,110.7,3.4,,,K. Smart (36-46),S. Curry (6.6)
2009-10,Golden State Warriors,26,56,317,4th of 5,-3.28,,100.4,7.7,108.1,0.5,111.7,4.1,,,D. Nelson (26-56),C. Maggette (6.3)